Ma_sp,Ten_sp,Gia,Xuat_xu,Nong_do,Dung_tich,Giong_nho,Mau_sac,Loai_ruou,Thuong_hieu,Vung_lam_vang
VNWH-4355,Rượu Sâm Banh Pol Roger Brut Vintage 2002,3.500.000,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Vàng nhạt,Rượu Champagne,: Pol Roger ,
VNWH- 10000,Rượu Sâm Banh Pol Roger Cuvée Winston Churchill,1,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir", Vàng nhạt,Rượu Champagne,: Pol Roger ,
VNWH2 - 900,Rượu Sâm Banh Santa Margherita Valdobbiadene Prosecco,840.000,"Ý
","11.5 %
","750 ML
",Glera, Trắng,Rượu Vang Sủi,: Santa Margherita ,: Conegliano-Valdobbiadene Prosecco
VNPV1-1372,Rượu Sâm Banh Thierry Germain Bulles De Roches Saumur,1.235.000,"Pháp
","12.5 %
","750 ML
",Chenin Blanc,Màu vàng nhạt,Sâm Banh,,Loire Valley
VNWH-8950,Rượu Sâm Panh Billecart Salmon Nicolas François Billecart Vintage,6.967.000,"Pháp
","12.5 %
","1500 ML
","hardonnay,Pinot Noir,Pinot Meunier", Màu vàng nhạt,Champagne, Champagne Billecart,
VNMH-2900,Rượu Sâm Panh Charles Heidsieck Brut Millésimé,2.900.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir", Vàng nhạt,Rượu Sâm Panh,Champagne Charles Heidsieck,
VNWH4- 3500,Rượu Sâm Panh Louis Roederer Brut Rose,1,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir", ,Rượu Champagne, Louis Roederer,
VNMH-500,Rượu Sâm Panh Veuve Ambal Crémant De Bourgogne Grande Cuvee,500.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Gamay", Vàng nhạt,Rượu Sâm Panh,: Veuve Ambal,Bourgogne
VNHD2-755,Rượu Sparkling Baglietti No.5 Moscato,755.000,"Ý
","6.5 %
","750 ML
",Moscato,,Moscato, Baglietti,Veneto
VNPE-650,Rượu Sparkling Cuvee DEOR The Gold collection,650.000,"Ý
","10 %
","750 ML
",Moscato, Vàng nhạt,Rượu Sparkling,: Cielo & Terra,Veneto
VNVY-3780,Rượu Sparkling Ferrari Made To Measure Cuvee,3.780.000,"Ý
","12.5 %
","750 ML
",Chardonnay, ,Rượu Vang Trắng,Ferrari,": Italy, Trentino-Alto Adige, Trento"
VNVY3-2130,Rượu Sparkling Ferrari Maximum Demi Sec Trentodoc,2.130.000,"Ý
","12.5 %
","750 ML
",Chardonnay, ,Rượu Vang Trắng,,": Italy, Trentino-Alto Adige, Trento"
VNHD1-450,Rượu Sparkling Giacobazzi Moscato Rose,450.000,"Ý
","6.5 %
","750 ML
",Moscato,Hồng nhạt,Rượu Vang Hồng,,Veneto
VNMCL1-340,Rượu Sparkling Martini Asti,340.000,"Ý
","8 %
","750 ML
",,Vàng rơm,Rượu Sparkling, Martini,Piedmont
VNPE-532,Rượu Sparkling PassaParola Prosecco Brut,532.000,"Ý
","11 %
","750 ML
",: Prosecco, Vàng nhạt,Rượu Sparkling,,Veneto
VNHM-750,Rượu Sparkling Valdivieso Blanc De Blancs,750.000,"Chile
","12 %
","750 ML
",Chardonnay, ,Rượu Sparkling,Valdivieso,Central Valley
VNBMF1-230,Rượu Sparkling Wine BB Demi Sec,230.000,"Hungary
","11.5 %
","750 ML
",Chardonnay,Vàng nhạt,Sparkling Wine, BB,
VNTL1-305,Rượu Sparkling Wine Fleurs De Prairie,300.000,"Pháp
","12 %
","750 ML
","Cinsault,Grenache,Muscat",,Rượu Vang Nổ,: Fleurs de Prairie,: Cotes De Provence
VNBMF-186,Rượu Sparkling Wine Torley Charmant Sweet Red,186.000,"Hungary
","11.5 %
","750 ML
","Cabernet Franc,Sauvignon Blanc",Hồng nhạt,Sparkling Wine, Torley,
VNTL-347,Rượu Sparkling Wine Undurraga Demi Sec,250.000,"Chile
","12 %
","750 ML
","Chardonnay,Pinot Noir",,Sparkling Wine,: Undurraga,Central Valley
VNHM2-520,Rượu Sparkling Wine Valdivieso Extra Brut,520.000,"Chile
","12 %
","750 ML
",Chardonnay, ,Sparkling Wine,Valdivieso,Central Valley
VNVH-1000,Rượu Vang  I Veroni I Domi Chianti Rufina,1.000.000,"Ý
","15.5 %
","750 ML
",Sangiovese,Đỏ ruby,Rượu Vang Đỏ, Fattoria I Veroni,Tuscany
VNHD-895,Rượu Vang 1.868 Finca Los Aljibes,895.000,"Tây Ban Nha
","14.5 %
","750 ML
","Cabernet Sauvignon,Tempranillo,Petit Verdot,Garnacha",Đỏ ruby,Rượu Vang Đỏ,Bodega Finca Los Aljibes,
VNNEIR-650,Rượu Vang 12 E Mezzo Primitivo Del Salento,540.000,"Ý
","12.5 %
","750 ML
",Primitivo, Màu đỏ ruby,Rượu Vang Đỏ,Varvaglione 1921,Puglia
VNNEIR-700,Rượu Vang 12 E Mezzo Primitivo Puglia Organic,700.000,"Ý
","12.5 %
","750 ML
",Primitivo, Màu đỏ thẫm xen ánh tím,Rượu Vang Đỏ,Varvaglione 1921,Puglia
VNHD-355,Rượu Vang 125 Malvasia Del Salento,318.000,"Ý
","12.5 %
","750 ML
",,,,,
VNHD1-395,Rượu Vang 125 Negroamaro Del Salento,395.000,"Ý
","12.5 %
","750 ML
",Negroamaro,Đỏ ruby,Rượu Vang Đỏ,Feudi Salentini,Puglia
VNHD-651,Rượu Vang 125 Primitivo Del Salento,650.000,"Ý
","14 %
","750 ML
",,,,,
VNYW-8745,Rượu Vang 1600 Limited Edition Napa Valley,8.745.000,"Mỹ
","14.6 %
","750 ML
",Cabernet Sauvignon,Màu đỏ ruby,Rượu Vang đỏ,,Napa Valley
VNHM1-299,Rượu Vang 1679 Chardonnay,299.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,,Rượu Vang Trắng,1679,Bordeaux
VNMH8-1800,Rượu Vang 17 Edizione Limited Release,1.800.000,"Ý
","14.5 %
","750 ML
","Montepulciano,Primitivo,Sangiovese,Negroamaro,Malvasia Nera", Đỏ ruby,Rượu Vang Đỏ,Farnese,Puglia
VNTK3-1187,Rượu Vang 1865 Selected Vineyard Sauvignon Blanc,1.187.000,"Chile
","13.8 %
","750 ML
",Sauvignon Blanc, Vàng rơm,Rượu Vang Trắng,,Leyda Valley
VNYW-1225,Rượu Vang 1865 Single Vineyard Cabernet Sauvignon,1.225.000,"Chile
","14.4 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,,Maipo Valley
VNWP-980,Rượu Vang 1868 Negroamaro Puglia,980.000,"Ý
","14.5 %
","750 ML
",Negroamaro,Đỏ ruby,Rượu Vang Đỏ,: Agricola Sca Leverano,Puglia
VNHM-295,Rượu Vang 1879 Reserva Cabernet Sauvignon,295.000,"Chile
","13.5 %
","750 ML
",Cabernet Sauvignon,,Rượu Vang Đỏ,,Maipo Valley
VNPE-226,Rượu Vang 1887 Cabernet Sauvignon,226.000,"Chile
","12.5 %
","750 ML
",Cabernet Sauvignon, Đỏ ruby,Rượu Vang Đỏ,Montgras,Central Valley
VNNEIR-3500,Rượu Vang 1921 Primitivo Di Manduria Riserva,3.500.000,"Ý
","14.5 %
","750 ML
",Primitivo, Màu đỏ tươi,Rượu Vang Đỏ,Varvaglione 1921,Puglia
,Rượu Vang 1954 Appassimento Primitivo,445.000,"Ý
","14.5 %
","750 ML
",Primitivo,,Appassimento, Tenute Girolamo,Puglia
VNVH-300,Rượu Vang 1973 Sangiovese Puglia,300.000,"Ý
","12.5 %
","750 ML
",Sangiovese,Đỏ ruby,Rượu Vang Đỏ,Indicazione Geografica Tipica,Puglia
VNLB-01,Rượu Vang 1982 UG Bordeaux,1,"Pháp
","13.5 %
","750 ML
",Cabernet Franc,Đỏ ruby,Rượu Vang Đỏ,,Bordeaux
VNLB-02,Rượu Vang 1982 UG Bordeaux Sauvignon Blanc,1,"Pháp
","13.5 %
","750 ML
",Sauvignon Blanc,Vàng rơm,Rượu Vang Trắng,,Bordeaux
VNMH25-1800,Rượu Vang 20 Edizione Limited Edition,1.800.000,"Ý
","15 %
","750 ML
","Montepulciano,Primitivo,Sangiovese,Negroamaro,Malvasia Nera",,Rượu vang Đỏ,,Puglia
VNPE-858,Rượu Vang 3 Passo Rosso Organic,858.000,"Ý
","14 %
","750 ML
","Sangiovese,Negroamaro", Đỏ ruby,Rượu Vang Đỏ,: Cielo E Terra,Veneto
VNBMF-828,Rượu Vang 40 Quaranta Appassimento,828.000,"Ý
","15 %
","750 ML
","Negroamaro,Cabernet Sauvignon,Syrah",,Appassimento, Quaranta,Puglia
VNMH4-1700,Rượu Vang 60 Sessantanni Limited Edition Primitivo,1,"Ý
","14.5 %
","750 ML
",,,,,
VNWP-780,Rượu Vang 7 Colores Single Vineyard Red Blend,780.000,"Chile
","14 %
","750 ML
","Cabernet Sauvignon,Carmenère",Đỏ ruby,Rượu Vang Đỏ,7Colores,Maipo Valley
VNMH5-850,Rượu Vang 7 Muri Primitivo Di Manduria,850.000,"Ý
","14 %
","750 ML
",Primitivo,,Rượu vang Đỏ,,Puglia
,Rượu Vang 7 Seven Merlot,885.000,"Ý
","15.5 %
","750 ML
",Merlot, Màu đỏ ruby,Rượu vang đỏ, Cantina La Salute,Puglia
VNWP-320,Rượu Vang 7Colores Cabernet Sauvignon,320.000,"Chile
","13.5 %
","750 ML
",Carbernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,7Colores,Central Valley
VNWP2-550,Rượu Vang 7Colores Gran Reserva Cabernet Sauvignon – Muscat,550.000,"Chile
","14 %
","750 ML
","Carbernet Sauvignon,Muscat",Đỏ ruby,Rượu Vang Đỏ,7Colores,: Maule Valley
VNWP-580,Rượu Vang 7Colores Gran Reserva Carmenère,580.000,"Chile
","13.5 %
","750 ML
",Carmenere,Đỏ ruby,Rượu Vang Đỏ,7Colores,: Maule Valley
VNWP-600,Rượu Vang 7Colores Gran Reserva Pinot Noir – Semillion,600.000,"Chile
","13.5 %
","750 ML
","Pinot Noir,Semillion",Đỏ ruby,Rượu Vang Đỏ,7Colores,: Casablanca
VNWP-1850,Rượu Vang 7Colores Icon Cabernet Sauvignon,1.850.000,"Chile
","14.5 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,7Colores,Maipo Valley
VNWP3-1450,Rượu Vang 7Colores Limited Edition Cabernet Sauvignon,1.450.000,"Chile
","14.5 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,7Colores,Maipo Valley
VNWP-420,Rượu Vang 7Colores Reserva Cabernet Sauvignon – Pais,420.000,"Chile
","13.5 %
","750 ML
",Carbernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,7Colores,: Maule Valley
VNWP1-420,Rượu Vang 7Colores Reserva Sauvignon Blanc,420.000,"Chile
","12.5 %
","750 ML
",Sauvignon Blanc,Vàng nhạt,Rượu Vang Trắng,7Colores,: Maule Valley
VNWP1-320,Rượu Vang 7Colores Sauvignon Blanc,320.000,"Chile
","12.5 %
","750 ML
",Sauvignon Blanc,Vàng rơm,Rượu Vang Trắng,7Colores,Central Valley
VNHP-750,Rượu Vang 80 Anni Barbera Dezzani,750.000,"Ý
","14.5 %
","750 ML
",Barbera, Đỏ ruby,Rượu Vang Đỏ,: Dezzani,Piemonte
VNCIE-1470,Rượu Vang 80 Vecchie Vigne Primitivo Di Manduria,1.470.000,"Ý
","18 %
","750 ML
",Primitivo,Đỏ ruby,Rượu Vang Đỏ,Vecchie Vigne,Puglia
,Rượu Vang 816 Primitivo Di Manduria,1.000.000,"Ý
","14.5 %
","750 ML
",Primitivo,,Rượu vang đỏ,,Puglia
VNLK-1200,Rượu Vang 88 Negroamaro Del Salento,900.000,"Ý
","16 %
","750 ML
",,,,,
VNLK-1350,Rượu Vang 89 Anniversary Primitivo,1.050.000,"Ý
","16 %
","750 ML
",,,,,
VNTLP1-1950,Rượu Vang A Rosso Salento Blend – Chai Chữ A,1.950.000,"Ý
","15 %
","750 ML
","Negroamaro,Primitivo",Đỏ ruby,Rượu Vang Đỏ,Le Vigne Di Sammarco,Puglia
,Rượu Vang A50 Amarone Dela Valpolicella Tinazzi,5.250.000,"Ý
","15.5 %
","750 ML
","Corvina,Molinara,Rondinella", ,Rượu Vang Amarone,Tinazzi,Veneto
VNADT2-1260,Rượu Vang Abando Rioja,1.260.000,"Tây Ban Nha
","14 %
","750 ML
",Tempranillo,Đỏ ruby,Rượu Vang Đỏ,Abando,: Rioja
VNMT1-215,Rượu Vang Abtao Cabernet Sauvignon,215.000,"Chile
","13.5 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ, Abtao,Colchagua Valley
VNMT-215,Rượu Vang Abtao Chardonnay,215.000,"Chile
","15 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Vang Trắng, Abtao,Central Valley
VNMT1-400,Rượu Vang Abtao Gran Reserva Cabernet Sauvignon,400.000,"Chile
","13.5 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ, Abtao,Central Valley
VNMT-400,Rượu Vang Abtao Gran Reserva Chardonnay,400.000,"Chile
","13.5 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Vang Trắng, Abtao,Casablanca Valley
VNMT2-280,Rượu Vang Abtao Reserva Cabernet Sauvignon,280.000,"Chile
","13.5 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ, Abtao,Colchagua Valley
VNMT1-280,Rượu Vang Abtao Reserva Carménère,280.000,"Chile
","13.5 %
","750 ML
",Carménère,Đỏ ruby,Rượu Vang Đỏ, Abtao,Central Valley
VNMT-280,Rượu Vang Abtao Reserva Sauvignon Blanc,280.000,"Chile
","13 %
","750 ML
",Sauvignon Blanc,Vàng nhạt,Rượu Vang Trắng, Abtao,Central Valley
VNVY-3680,Rượu Vang Acinatico Amarone Della Valpolicella Classico,3.680.000,"Ý
","16.5 %
","750 ML
",, ,Rượu Vang Đỏ,Accordini Stefano ,Veneto
VNMH8-800,Rượu Vang Aconcagua Costa Syrah Errazuriz,800.000,"Chile
","13.5 %
","750 ML
",Syrah, Đỏ ruby,Rượu Vang Đỏ,Errazuriz,Aconcagua Valley
VNNEIR-1500,Rượu Vang Adeodatus Primitivo Di Manduria,1.350.000,"Ý
","15 %
","750 ML
",Primitivo, Màu đỏ tươi,Rượu Vang Đỏ,,
VNLK-1050,Rượu Vang Aglianico Polvanera Puglia (Organic Wine),1.050.000,"Ý
","14.5 %
","750 ML
",Aglianico,,Rượu Vang Đỏ, Polvanera  ,Puglia
VNYW-405,Rượu Vang Agustinos Reserva Cabernet Sauvignon,405.000,"Chile
","13 %
","750 ML
",: ,Đỏ ruby,Rượu Vang Đỏ,Agustinos,Maipo Valley
VNWH-5445,Rượu Vang Aile D’Argent Chateau Mouton Rothschild,5.445.000,"Pháp
","13.5 %
","750 ML
","Sauvignon Blanc,Semillon","Màu vàng gold, khá sáng",Rượu Vang Trắng, Chateau Mouton Rothschild,Bordeaux
VNQW-1012,Rượu Vang Ala Rossa D’Italia Rosso IGT Puglia,1.012.000,"Ý
","16 %
","750 ML
","Primitivo,Negroamaro",Đỏ Ruby,Rượu Vang Đỏ,Ala Rossa,Puglia
VNPV-1150,Rượu Vang Alain Brumont Chateau Bouscasse Madiran,1.035.000,"Pháp
","13.5 %
","750 ML
",Malbec,Màu đỏ anh đào đậm,Rượu Vang đỏ,Alain Brumont,South West France
VNPV2-768,Rượu Vang Alain Brumont Torus Madiran,692.000,"Pháp
","13 %
","750 ML
",Cabernet Sauvignon,Màu đỏ sẫm,Rượu Vang đỏ,Alain Brumont,South West France
VNPV1-1718,Rượu Vang Alain Chabanon L’Esprit De Font Caude Montpeyroux,1.547.000,"Pháp
","13.5 %
","750 ML
","Syrah,Mourvedre",Màu đỏ,Rượu Vang đỏ,Alain Chabanon,Languedoc
VNPV-1730,Rượu Vang Alain Chabanon Le Merle Aux Alouettes,1.557.000,"Pháp
","14 %
","750 ML
",Merlot, Đỏ ruby đậm,Rượu Vang Đỏ,,Languedoc
VNPV1-1046,Rượu Vang Alain Chabanon Le Petit Merle Aux Alouettes,942.000,"Pháp
","13 %
","750 ML
",Merlot, Đỏ sẫm,Rượu Vang Đỏ,,Languedoc
VNPV-1629,Rượu Vang Alain Chabanon Les Boisieres,1.467.000,"Pháp
","14 %
","750 ML
","Grenache,Syrah,Mourvedre", Đỏ hồng ngọc,Rượu Vang Đỏ,,Languedoc
VNPV1-1989,Rượu Vang Alain Chabanon Saut De Cote,1.791.000,"Pháp
","13 %
","750 ML
","Syrah,Merlot", Đỏ đậm,Rượu Vang Đỏ,,Languedoc
VNPV-1686,Rượu Vang Alain Chabanon Trelans,1.518.000,"Pháp
","13 %
","750 ML
",,,,,Languedoc
VNTK3-734,Rượu Vang Alamos Cabernet Sauvignon,734.000,"Argentina
","13.5 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,Alamos,Mendoza
VNLK-700,Rượu Vang Alarossa D’italia Rosso IGT Puglia,700.000,"Ý
","14 %
","750 ML
","Primitivo,Negroamaro",Đỏ ruby,Rượu Vang Đỏ,47 Anno Domini,Puglia
VNLK1-700,Rượu Vang Alarossa D’italia Rosso IGT Veneto,700.000,"Ý
","14 %
","750 ML
","Corvina,Rondinella",Đỏ ruby,Rượu Vang Đỏ,47 Anno Domini,Veneto
VNVC-11880,Rượu Vang Albert Bichot Bonnes Mares Grand Cru,11.880.000,"Pháp
","13 %
","750 ML
",Pinot Noir, Đỏ ruby,Rượu Vang Đỏ,Albert Bichot,Bourgogne
VNVC-748,Rượu Vang Albert Bichot Bourgogne Aligote,748.000,"Pháp
","12 %
","750 ML
",Aligoté,Vàng rơm,Rượu Vang Trắng,,Bourgogne
VNVC1-759,Rượu Vang Albert Bichot Bourgogne Gamay,759.000,"Pháp
","12.5 %
","750 ML
",Gamay,Đỏ ruby,Rượu Vang Đỏ,,Bourgogne
VNVC-825,Rượu Vang Albert Bichot Bourgogne Vieilles Vignes De Chardonnay,825.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Vang Trắng,,Bourgogne
VNVC1-858,Rượu Vang Albert Bichot Bourgogne Vieilles Vignes De Pinot Noir,858.000,"Pháp
","12.5 %
","750 ML
",Pinot Noir,Đỏ ruby,Rượu Vang Đỏ,,Bourgogne
VNVC-1056,Rượu Vang Albert Bichot Chablis Domaine Long Depaquit,1.056.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Vang Trắng,,Bourgogne
VNVC-4400,Rượu Vang Albert Bichot Chambolle Musigny Premier Cru Les Chabiots,4.400.000,"Pháp
","13 %
","750 ML
",Pinot Noir,Đỏ ruby,Rượu Vang Đỏ,,Côtes De Nuit
VNVC-2975,Rượu Vang Albert Bichot Clos De La Perriere Fixin Ler Cru,2.975.000,"Pháp
","13 %
","750 ML
",Pinot Noir,Đỏ ruby,Rượu Vang Đỏ,,Côte De Nuits
VNVC-8800,Rượu Vang Albert Bichot Clos De La Roche Grand Cru,8.800.000,"Pháp
","13.5 %
","750 ML
",Pinot Noir,Đỏ ruby,Rượu Vang Đỏ,Albert Bichot,Cöle de Nuits
VNVC1-5280,Rượu Vang Albert Bichot Corton Domaine Du Pavillon,5.280.000,"Pháp
","13.5 %
","750 ML
",Pinot Noir,Đỏ ruby,Rượu Vang Đỏ,Albert Bichot,Cole de Beoune
VNVC-1320,Rượu Vang Albert Bichot Côte De Nuits Villages,1.320.000,"Pháp
","13 %
","750 ML
",Pinot Noir,Đỏ ruby,Rượu Vang Đỏ,,Côtes De Nuit
VNVC-16940,Rượu Vang Albert Bichot Criots Bâtard Montrachet Grand Cru,16.940.000,"Pháp
","13 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Vang Trắng,Albert Bichot,Cole de Beoune
VNVC-2585,Rượu Vang Albert Bichot Gevrey Chambertin,2.585.000,"Pháp
","13 %
","750 ML
",Gamay,Đỏ ruby,Rượu Vang Đỏ,,Bourgogne
VNVC1-8052,Rượu Vang Albert Bichot Grand Echezeaux Domaine Du Clos Frantin,8.052.000,"Pháp
","13.5 %
","750 ML
",Pinot Noir,Đỏ ruby,Rượu Vang Đỏ,Albert Bichot,Bourgogne
VNVC-1001,Rượu Vang Albert Bichot Hautes Côtes De Nuits Les Dames Huguettes,1.001.000,"Pháp
","12.5 %
","750 ML
",Pinot Noir,Đỏ ruby,Rượu Vang Đỏ,,Côtes de Nuit
VNVC-8052,Rượu Vang Albert Bichot Latricieres Chambertin Grand Cru,8.052.000,"Pháp
","13.5 %
","750 ML
",Pinot Noir,Đỏ ruby,Rượu Vang Đỏ,Albert Bichot,Bourgogne
VNVC-12100,Rượu Vang Albert Bichot Mazis Chambertin Grand Cru,12.100.000,"Pháp
","13 %
","750 ML
",Pinot Noir,Đỏ ruby,Rượu Vang Đỏ,Albert Bichot,Bourgogne
VNVC1-1760,Rượu Vang Albert Bichot Mercurey Premier Cru Les Combins,1.760.000,"Pháp
","13 %
","750 ML
",Gamay,Đỏ ruby,Rượu Vang Đỏ,,Bourgogne
VNVC-3080,Rượu Vang Albert Bichot Meursault Domaine Du Pavillon,3.080.000,"Pháp
","12.5 %
","750 ML
",Chardonnay, Vàng rơm,Rượu Vang Trắng,,Bourgogne
VNVC1-1056,Rượu Vang Albert Bichot Moulin-A-Vent Domaine De Rochegres,1.056.000,"Pháp
","12.5 %
","750 ML
",Gamay,Đỏ ruby,Rượu Vang Đỏ,,Beoujolois
VNVC-5280,Rượu Vang Albert Bichot Moutonne Chablis Grand Cru Monopole,5.280.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Vang Trắng,Albert Bichot,Chablis
VNVC-2860,Rượu Vang Albert Bichot Pommard Clos Des Ursulines Domaine Du Pavillon,2.860.000,"Pháp
","13 %
","750 ML
",Pinot Noir,Đỏ ruby,Rượu Vang Đỏ,,Bourgogne
VNVC-1375,Rượu Vang Albert Bichot Pouilly Fuisse,1.375.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Vang Trắng,,Bourgogne
VNVC-3520,Rượu Vang Albert Bichot Puligny Montrachet,3.520.000,"Pháp
","13 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Vang Trắng,,Bourgogne
VNVC1-1650,Rượu Vang Albert Bichot Rochegres,1.650.000,"Pháp
","12.5 %
","750 ML
",Gamay,Đỏ ruby,Rượu Vang Đỏ,,Beoujolois
VNVC-1760,Rượu Vang Albert Bichot Saint Romain,1.760.000,"Pháp
","13.9 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Vang Trắng,,Bourgogne
VNWH1-524,Rượu Vang Allan Scott Pinot Gris,495.000,"New Zealand
","12 %
","750 ML
",Pinot Gris, Vàng tươi,Rượu Vang Trắng,: Allan Scott,Marlborough
VNWH2 - 750,Rượu Vang Allan Scott Pinot Noir,725.000,"New Zealand
","13.5 %
","750 ML
",Pinot Noir, Màu đỏ đậm,Rượu vang đỏ, Allan Scott,Marlborough
VNWH5-475,Rượu Vang Allan Scott Sauvignon Blanc,450.000,"New Zealand
","12 %
","750 ML
",Sauvignon Blanc, Vàng rơm,Rượu Vang Trắng,: Allan Scott,Marlborough
VNAV-364,Rượu Vang Allegranza Tempranillo – Shiraz,350.000,"Tây Ban Nha
","13 %
","750 ML
","Tempranillo,Shiraz",Đỏ ruby,Rượu Vang Đỏ,Allegranza,La Mancha 
VNDL-1860,Rượu Vang Allegrini Corte Giara Amarone La Groletta,1.830.000,"Ý
","15 %
","750 ML
","Corvina,Rondinella", Màu đỏ đậm,Rượu vang đỏ,Allegrini,Veneto
VNDL-594,Rượu Vang Allegrini Corte Giara Pinot Grigio,550.000,"Ý
","12.5 %
","750 ML
",Pinot Grigio, Vàng nhạt,Rượu Vang Trắng,Allegrini,Veneto
VNDL-1030,Rượu Vang Allegrini Corte Giara Ripasso Valpolicella La Groletta,989.000,"Ý
","13.5 %
","750 ML
","Corvina,Rondinella", Màu đỏ ruby,Rượu vang đỏ,Allegrini,Veneto
VNDL-14118,Rượu Vang Allegrini Fieramonte Amarone Classico Riserva,14.118.000,"Ý
","15 %
","750 ML
","Corvina,Corvinone,Rondinella,Oseleta", Đỏ ruby,Rượu Vang Đỏ,,Veneto
VNDL-1510,Rượu Vang Allegrini Palazzo Della Torre,1.389.000,"Ý
","14 %
","750 ML
","Corvina,Corvinone,Rondinella,Sangiovese", Màu đỏ đậm,Rượu vang đỏ,Allegrini,Veneto
VNDL1-910,Rượu Vang Allegrini Valpolicella,859.000,"Ý
","13 %
","750 ML
","Corvina,Rondinella,Oseleta", Màu đỏ đậm,Rượu vang đỏ,Allegrini,Veneto
VNTBM3-163,Rượu Vang Almacen Cabernet Sauvignon,163.000,"Chile
","13 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,Almacen,Central Valley
VNTBM2-475,Rượu Vang Almacen Cuvee Gran Reserva,475.000,"Chile
","14 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,Almacen,Central Valley
VNTBM2-263,Rượu Vang Almacen Reserva Cabernet Sauvignon,263.000,"Chile
","14 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,Almacen,Central Valley
VNTBM3-263,Rượu Vang Almacen Reserva Chardonnay,263.000,"Chile
","13 %
","750 ML
",Chardonnay,Vàng nhạt,Rượu Vang Trắng,Almacen,Central Valley
VNHM-590,Rượu Vang Almaden Cabernet Sauvignon,590.000,"Mỹ
","13 %
","1500 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ, Almaden,California
VNPV-760,Rượu Vang Alois Lageder Chardonnay,684.000,"Ý
","13.5 %
","750 ML
",Chardonnay, Vàng rơm,Rượu Vang Trắng,Alois Lageder,: Trentino – Alto Adige
VNPV1-760,Rượu Vang Alois Lageder Dolomiti Pinot Grigio,684.000,"Ý
","12.5 %
","750 ML
",Pinot Grigio, Vàng rơm,Rượu Vang Trắng,Alois Lageder,: Trentino – Alto Adige
VNPV-1117,Rượu Vang Alois Lageder Porer Pinot Grigio,1.006.000,"Ý
","12.5 %
","750 ML
",Pinot Grigio, Vàng rơm,Rượu Vang Trắng,Alois Lageder,: Trentino – Alto Adige
VNPV-937,Rượu Vang Alois Lageder Sauvignon Blanc,844.000,"Ý
","12 %
","750 ML
",Sauvignon Blanc, Vàng rơm,Rượu Vang Trắng,Alois Lageder,: Trentino – Alto Adige
VNMH7-1800,Rượu Vang Aloxe Corton Domaine Latour,1.800.000,"Pháp
","13.5 %
","750 ML
",Pinot Noir,Màu đỏ rực,Rượu Vang đỏ,,Bourgogne
VNWH3 - 975,Rượu Vang Alpha Estate Axia Syrah – Xinomavro,1,"Hy Lạp
","14.5 %
","750 ML
",Shiraz,,Rượu vang đỏ,: Alpha Estate,: Florina
VNWH1-975,Rượu Vang Alpha Estate Rose,975.000,"Hy Lạp
","12.5 %
","750 ML
",Xinomavro, Màu hồng ngọc,Rượu vang hồng, Alpha Estate, Amyndeo
